player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Garompinax-Ragnaros,2026/03/25,23:55:00,1774500971-3,[Alnscorned Spire],249278,item:249278::::::::90:268::5:3:6652:13334:12794,Upgrade,0,MONK,The Dreamrift-Heroic,Chimaerus the Undreamt God,15,2939,23,|cnIQ4:|Hitem:249669::::::::90:268::109:2:6652:12788:1:28:6011:::::|h[Organ Piercer's Briarspear]|h|r,,2,false,Staves,Two-Hand,,Garompinax-Ragnaros
Garompinax-Ragnaros,2026/03/26,20:50:00,1774576285-7,[Endless March Waistwrap],249319,item:249319::::::::90:268::150:6:6652:12667:13577:13332:12777:11215:1:28:3607,Personal Loot - Non tradeable,nil,MONK,The Voidspire-Normal,Imperator Averzian,14,2912,26,,,PL,false,Cloth,Waist,,Garompinax-Ragnaros
Garompinax-Ragnaros,2026/03/26,21:18:00,1774577947-27,[Gloom-Spattered Dreadscale],249339,item:249339::::::::90:268::3:3:6652:13333:12787,Upgrade,1,MONK,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,26,|cnIQ4:|Hitem:252421::::::::90:268::23:4:13439:6652:12699:12790:1:28:3025:::::|h[Rotting Globule]|h|r,|cnIQ4:|Hitem:264694::::::::90:268::110:2:12793:6652:1:28:6011:::::|h[Ultradon Cuirass]|h|r,2,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Garompinax-Ragnaros,2026/03/26,21:47:00,1774579750-42,[Faja infernal de granbloqueo],260371,item:260371::::::::90:252::5:6:6652:12667:13577:13334:12795:10844:3:28:3606:29:32:30:49,Banking,nil,MONK,The Voidspire-Heroic,Imperator Averzian,15,2912,26,,,2,true,Cloth,Waist,,Stickcoco-Area52
Garompinax-Ragnaros,2026/03/26,22:08:00,1774581015-53,[Wraps of Cosmic Madness],249340,item:249340::::::::90:268::151:4:6652:13333:12786:11215:1:28:3606,Personal Loot - Non tradeable,nil,MONK,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,26,,,PL,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Bladwolf-Area52,2026/03/18,23:04:00,1773893067-1,[Voidforged Unraveled Nullcore],249366,item:249366::::::::90:268::3:3:13346:13340:13333,BIS,2,WARRIOR,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,29,|cnIQ4:|Hitem:258587:8029:::::::90:268::23:5:12785:13439:43:13577:12699:1:28:3025:::::|h[Spaulders of Scorching Ray]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Bladwolf-Area52,2026/03/18,23:26:00,1773894344-14,[Voidforged Hungering Nullcore],249354,item:249354::::::::90:268::3:3:13346:13337:13333,BIS,1,WARRIOR,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:251081::::::::90:268::23:5:13439:6652:12699:13577:12781:1:28:3022:::::|h[Embergrove Grasps]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Bladwolf-Area52,2026/03/18,23:26:00,1773894401-20,[Heart of Ancient Hunger],249342,item:249342::::::::90:268::3:3:6652:13333:12786,BIS,1,WARRIOR,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:251782::::::::90:268::109:2:12786:6652:1:28:6011:::::|h[Withered Saptor's Paw]|h|r,|cnIQ4:|Hitem:193701::::::::90:268::23:4:12785:13439:6652:12699:1:28:3025:::::|h[Algeth'ar Puzzle Box]|h|r,1,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Bladwolf-Area52,2026/03/26,21:06:00,1774577269-19,[Blade of the Final Twilight],249281,item:249281::::::::90:268::3:3:43:13333:12786,Off spec,0,WARRIOR,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,26,|cnIQ4:|Hitem:237848:8041:::::::90:268::13:8:12214:12497:12066:12693:8960:8793:13622:13667:9:28:3615:29:40:30:36:38:8:40:2741:46:232875:47:245876:48:245784:49:-2147480301:::::|h[Blood Knight's Mercy |A:Professions-ChatIcon-Quality-Tier5:17:15::1|a]|h|r,|cnIQ4:|Hitem:251168:7983:::::::90:268::33:4:13440:6652:12701:12798:1:28:1279:::::|h[Liferipper's Cutlass]|h|r,3,false,One-Handed Swords,One-Hand,,Garompinax-Ragnaros
Muunragery-Illidan,2026/03/26,20:40:00,1774575660-1,[Greaves of the Unformed],249381,item:249381::::::::90:102::150:5:6652:13577:13332:12778:11215:1:28:3607,Personal Loot - Non tradeable,nil,DRUID,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,23,,,PL,false,Plate,Feet,,Muunragery-Illidan
Muunragery-Illidan,2026/03/26,21:07:00,1774577306-20,[Wraps of Cosmic Madness],249340,item:249340::::::::90:268::3:3:6652:13333:12786,Upgrade,0,DRUID,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,26,|cnIQ4:|Hitem:264507::::::::90:268::42:1:12785:1:28:4240:::::|h[Crucible of Erratic Energies]|h|r,|cnIQ4:|Hitem:251792::::::::90:268::110:2:12793:6652:1:28:6011:::::|h[Glorious Crusader's Keepsake]|h|r,2,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Shiros-Ragnaros,2026/03/18,23:17:00,1773893838-10,[Voidcast Corrupted Nullcore],249361,item:249361::::::::90:268::3:3:13347:13339:13333,BIS,1,HUNTER,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:249649:8159:::::::90:268::109:3:12786:6652:13577:1:28:6011:::::|h[Elder Mossvein Breeches]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Shiros-Ragnaros,2026/03/18,23:27:00,1773894408-21,[Waistcord of the Judged],249303,item:249303::::::::90:268::3:5:6652:12667:13577:13333:12787:1:28:3607,Upgrade,0,HUNTER,The Voidspire-Normal,Lightblinded Vanguard,14,2912,29,|cnIQ4:|Hitem:249651::::::::90:268::109:4:12786:6652:12667:13577:1:28:6011:::::|h[Elder Mosscinch]|h|r,,2,false,Mail,Waist,,Garompinax-Ragnaros
Mysidia-Ragnaros,2026/03/18,23:51:00,1773895953-5,[Heart of Ancient Hunger],249342,item:249342::::::::90:268::3:3:6652:13333:12786,Upgrade,0,PALADIN,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,27,|cnIQ4:|Hitem:264507::::::::90:268::42:1:12785:1:28:4240:::::|h[Crucible of Erratic Energies]|h|r,|cnIQ4:|Hitem:250228::::::::90:268::23:4:12779:13439:6652:12699:1:28:3025:::::|h[Resonant Bellowstone]|h|r,2,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Kyrel-Ragnaros,2026/03/25,23:54:00,1774500922-1,[Flor de la falla curada por Aln],249348,item:249348::::::::90:264::151:3:13333:11215:13346:1:28:3606,Personal Loot - Non tradeable,nil,SHAMAN,The Dreamrift-Heroic,Chimaerus the Undreamt God,15,2939,23,,,PL,false,Armor Token,,,Kyrel-Ragnaros
Kyrel-Ragnaros,2026/03/26,22:11:00,1774581183-59,[Fallen King's Cuffs],249304,item:249304::::::::90:268::5:5:6652:12667:13577:13334:12794,BIS,1,SHAMAN,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,26,|cnIQ4:|Hitem:251209::::::::90:268::16:6:12794:13440:6652:12667:13577:12699:1:28:1279:::::|h[Corewarden Cuffs]|h|r,,1,false,Mail,Wrist,,Garompinax-Ragnaros
Chelaxd-Ragnaros,2026/03/18,23:26:00,1773894387-19,[Weight of Command],249293,item:249293::::::::90:268::3:3:6652:13333:12785,Off spec,0,PALADIN,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:251078:8038:::::::90:268::23:4:13439:6652:12701:12790:1:28:3022:::::|h[Emberdawn Defender]|h|r,,3,false,One-Handed Maces,One-Hand,,Garompinax-Ragnaros
Elindil-Ragnaros,2026/03/18,23:05:00,1773893096-4,[Wraps of Cosmic Madness],249340,item:249340::::::::90:268::3:3:6652:13333:12786,Upgrade,2,DEMONHUNTER,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,29,|cnIQ4:|Hitem:250257::::::::90:268::23:4:12779:13439:6652:12699:1:28:3025:::::|h[Eye of the Drowning Void]|h|r,|cnIQ4:|Hitem:264507::::::::90:268::42:1:12785:1:28:4240:::::|h[Crucible of Erratic Energies]|h|r,2,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Elindil-Ragnaros,2026/03/18,23:28:00,1773894500-24,[Blooming Barklight Spaulders],249333,item:249333::::::::90:268::3:4:6652:13577:13333:12787:1:28:3607,Upgrade,1,DEMONHUNTER,The Voidspire-Normal,Lightblinded Vanguard,14,2912,29,|cnIQ4:|Hitem:251146::::::::90:268::23:5:12779:13439:6652:12699:13577:1:28:3025:::::|h[Scavenger's Spaulders]|h|r,,2,false,Leather,Shoulder,,Garompinax-Ragnaros
Elindil-Ragnaros,2026/03/26,21:47:00,1774579769-43,[Void-Claimed Shinkickers],249334,item:249334::::::::90:268::5:4:42:13577:13334:12793,Upgrade,0,DEMONHUNTER,The Voidspire-Heroic,Imperator Averzian,15,2912,26,|cnIQ4:|Hitem:249638:8019:::::::90:268::109:3:6652:13577:12790:1:28:6011:::::|h[Osseoclad Bonecrushers]|h|r,,2,false,Leather,Feet,,Garompinax-Ragnaros
Gdvalkyria-Ragnaros,2026/03/26,21:05:00,1774577224-16,[Parasite Stompers],249332,item:249332::::::::90:268::3:4:6652:13577:13333:12786,"Loot announced, waiting for answer",0,PALADIN,The Voidspire-Normal,Vorasius,14,2912,26,,,ANNOUNCED,false,Plate,Feet,,Garompinax-Ragnaros
Korzain-Ragnaros,2026/03/26,21:06:00,1774577233-17,[Inescapable Reach],249302,item:249302::::::::90:268::3:3:6652:13333:12786,Off spec,0,HUNTER,The Voidspire-Normal,Vorasius,14,2912,26,|cnIQ4:|Hitem:259462:8039:::::::90:268::109:2:12786:40:1:28:6011:::::|h[Thorneedle]|h|r,,3,false,Polearms,Two-Hand,,Garompinax-Ragnaros
Korzain-Ragnaros,2026/03/26,21:38:00,1774579194-35,[Arator's Swift Remembrance],260423,item:260423::::::::90:268::3:3:6652:13333:12788:1:28:3608,Off spec,0,HUNTER,The Voidspire-Normal,Crown of the Cosmos,14,2912,26,|cnIQ4:|Hitem:259462:8039:::::::90:268::109:2:12786:40:1:28:6011:::::|h[Thorneedle]|h|r,,3,false,One-Handed Swords,One-Hand,,Garompinax-Ragnaros
Korzain-Ragnaros,2026/03/26,21:48:00,1774579803-44,[Robes of the Voidbound],249310,item:249310::::::::90:268::5:4:6652:13577:13334:12793,BIS,0,HUNTER,The Voidspire-Heroic,Imperator Averzian,15,2912,26,|cnIQ4:|Hitem:151325:7984:::::::90:268::23:5:12785:13439:6652:13577:12699:1:28:3025:::::|h[Void-Linked Robe]|h|r,,1,false,Mail,Chest,,Garompinax-Ragnaros
Korzain-Ragnaros,2026/03/26,21:59:00,1774580441-48,[Hungering Victory],249925,item:249925::::::::90:268::5:3:6652:13334:12794,Off spec,0,HUNTER,The Voidspire-Heroic,Vorasius,15,2912,26,|cnIQ4:|Hitem:259462:8039:::::::90:268::109:2:12786:40:1:28:6011:::::|h[Thorneedle]|h|r,,3,false,Daggers,One-Hand,,Garompinax-Ragnaros
Liiam-Ragnaros,2026/03/18,23:26:00,1773894365-16,[Litany of Lightblind Wrath],249808,item:249808::::::::90:268::3:3:6652:13333:12787:1:28:3607,BIS,0,PALADIN,The Voidspire-Normal,Lightblinded Vanguard,14,2912,29,|cnIQ4:|Hitem:264507::::::::90:268::42:1:12785:1:28:4240:::::|h[Crucible of Erratic Energies]|h|r,|cnIQ4:|Hitem:251789::::::::90:268::109:2:12786:6652:1:28:6011:::::|h[Consecrated Chalice]|h|r,1,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Liiam-Ragnaros,2026/03/18,23:27:00,1773894456-23,[Parasite Stompers],249332,item:249332::::::::90:268::3:4:6652:13577:13333:12786,BIS,1,PALADIN,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:249654:7992:::::::90:268::109:3:12786:6652:13577:1:28:6011:::::|h[Rampant Thistlestompers]|h|r,,1,false,Plate,Feet,,Garompinax-Ragnaros
Liiam-Ragnaros,2026/03/26,20:41:00,1774575769-4,[Tome of Alnscorned Regret],249922,item:249922::::::::90:268::3:3:6652:13333:12786,Upgrade,0,PALADIN,The Dreamrift-Normal,Chimaerus the Undreamt God,14,2939,23,|cnIQ4:|Hitem:251150::::::::90:268::23:4:13439:6652:12699:12782:1:28:3025:::::|h[Tempest's Shelter]|h|r,,2,false,Miscellaneous,Held In Off-hand,SOLO SI NADIE LO NECESITA,Garompinax-Ragnaros
Liiam-Ragnaros,2026/03/26,22:12:00,1774581246-62,[Hate-Tied Waistchain],249380,item:249380::::::::90:268::3:5:6652:12667:13577:13333:12788:1:28:3608,BIS,0,PALADIN,The Voidspire-Heroic,Crown of the Cosmos,15,2912,19,|cnIQ4:|Hitem:263269::::::::90:268::42:2:13577:12785:1:28:4240:::::|h[Hara'ti Defender's Greatbelt]|h|r,,1,false,Plate,Waist,,Garompinax-Ragnaros
Jabtz-Ragnaros,2026/03/26,21:17:00,1774577934-25,[Vaelgor's Fearsome Grasp],249321,item:249321::::::::90:268::3:4:6652:13577:13333:12787,BIS,0,ROGUE,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,26,|cnIQ4:|Hitem:193721::::::::90:268::23:5:12785:13439:6652:13577:12699:1:28:3025:::::|h[Ruby Contestant's Gloves]|h|r,,1,false,Leather,Hands,,Garompinax-Ragnaros
Jabtz-Ragnaros,2026/03/26,21:38:00,1774579197-36,[Arator's Swift Remembrance],260423,item:260423::::::::90:268::3:3:40:13333:12788:1:28:3608,BIS,0,ROGUE,The Voidspire-Normal,Crown of the Cosmos,14,2912,26,|cnIQ4:|Hitem:258438::::::::90:268::23:4:13439:6652:12701:12790:1:28:738:::::|h[Blazing Sunclaws]|h|r,|cnIQ4:|Hitem:237928::::::::90:268::13:5:12247:12246:12497:8790:13620:7:28:3615:29:32:30:36:38:8:40:2707:45:245786:46:-2147480307:::::|h[Dawnforged Long Blade |A:Professions-ChatIcon-Quality-Tier5:17:15::1|a]|h|r,1,false,One-Handed Swords,One-Hand,,Garompinax-Ragnaros
Rianussy-Illidan,2026/03/26,21:25:00,1774578415-32,[Voidwoven Fanatical Nullcore],249355,item:249355::::::::90:268::3:3:13347:13338:13333:1:28:3607,BIS,0,MAGE,The Voidspire-Normal,Lightblinded Vanguard,14,2912,26,|cnIQ4:|Hitem:251080:7958:::::::90:268::33:6:12793:13440:6652:12667:13577:12699:1:28:1279:::::|h[Brambledawn Halo]|h|r,,1,false,Armor Token,,,Garompinax-Ragnaros
Rianussy-Illidan,2026/03/26,21:34:00,1774578923-33,[Nightblade's Pantaloons],249312,item:249312::::::::90:64::150:5:6652:13577:13332:12780:11215:1:28:3608,Personal Loot - Non tradeable,nil,MAGE,The Voidspire-Normal,Crown of the Cosmos,14,2912,21,,,PL,false,Leather,Legs,,Rianussy-Illidan
Rianussy-Illidan,2026/03/26,22:11:00,1774581157-56,[Wraps of Cosmic Madness],249340,item:249340::::::::90:268::5:3:6652:13334:12794,Upgrade,1,MAGE,The Voidspire-Heroic,Fallen-King Salhadaar,15,2912,26,|cnIQ4:|Hitem:250257::::::::90:268::23:4:13439:6652:12699:12786:1:28:3025:::::|h[Eye of the Drowning Void]|h|r,|cnIQ4:|Hitem:250144::::::::90:268::23:4:13439:6652:12699:12790:1:28:3022:::::|h[Emberwing Feather]|h|r,2,false,Miscellaneous,Trinket,,Garompinax-Ragnaros
Troläza-Ragnaros,2026/03/25,23:55:00,1774500969-2,[Alnscorned Spire],249278,item:249278::::::::90:268::5:3:6652:13334:12794,Upgrade,0,DRUID,The Dreamrift-Heroic,Chimaerus the Undreamt God,15,2939,23,|cnIQ4:|Hitem:251156:8038:::::::90:268::23:4:12779:13439:6652:12701:1:28:3022:::::|h[Fallen Speaker's Staff]|h|r,,2,false,Staves,Two-Hand,,Garompinax-Ragnaros
Troläza-Ragnaros,2026/03/26,20:40:00,1774575693-2,[Flor de la falla forjada por Aln],249350,item:249350::::::::90:105::150:3:13332:11215:13342:1:28:3607,Personal Loot - Non tradeable,nil,DRUID,Eastern Kingdoms-,Chimaerus the Undreamt God,0,0,0,,,PL,false,Armor Token,,,Troläza-Ragnaros
Troläza-Ragnaros,2026/03/26,21:17:00,1774577928-24,[Vaelgor's Fearsome Grasp],249321,item:249321::::::::90:268::3:4:6652:13577:13333:12787,Upgrade,0,DRUID,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,26,|cnIQ4:|Hitem:251204::::::::90:268::23:5:12779:13439:6652:12699:13577:1:28:3025:::::|h[Corewright's Zappers]|h|r,,2,false,Leather,Hands,,Garompinax-Ragnaros
Herx-Ragnaros,2026/03/18,23:05:00,1773893087-3,[Despotic Raiment],249308,item:249308::::::::90:268::3:4:6652:13577:13333:12786,BIS,1,MAGE,The Voidspire-Normal,Fallen-King Salhadaar,14,2912,29,|cnIQ4:|Hitem:251139::::::::90:268::23:5:13439:6652:12699:13577:12782:1:28:3025:::::|h[Summoner's Searing Shirt]|h|r,,1,false,Cloth,Chest,,Garompinax-Ragnaros
Herx-Ragnaros,2026/03/18,23:26:00,1773894378-18,[Grimoire of the Eternal Light],249276,item:249276::::::::90:268::3:3:42:13333:12786,Upgrade,0,MAGE,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:251201:8041:::::::90:268::23:4:13439:42:12701:12782:1:28:3025:::::|h[Corespark Multitool]|h|r,,2,false,Miscellaneous,Held In Off-hand,,Garompinax-Ragnaros
Motaku-Ragnaros,2026/03/18,23:15:00,1773893716-7,[Slippers of the Midnight Flame],249305,item:249305::::::::90:268::3:4:6652:13577:13333:12787,Upgrade,0,WARLOCK,The Voidspire-Normal,Vaelgor & Ezzorak,14,2912,29,|cnIQ4:|Hitem:151301:7963:::::::90:268::23:5:12785:13439:6652:13577:12699:1:28:1171:::::|h[Slippers of Growing Despair]|h|r,,2,false,Cloth,Feet,,Garompinax-Ragnaros
Motaku-Ragnaros,2026/03/18,23:29:00,1773894565-25,[Bond of Light],249369,item:249369::::::::90:268::3:4:6652:13668:13333:12787:1:28:3607,BIS,1,WARLOCK,The Voidspire-Normal,Lightblinded Vanguard,14,2912,29,|cnIQ4:|Hitem:259914:8021:240891::::::90:268::29:3:6652:13668:12779:1:28:5223:::::|h[Preyseeker's Circle]|h|r,|cnIQ4:|Hitem:251217:8021:240891::::::90:268::23:5:13439:6652:13668:12699:12782:1:28:3025:::::|h[Occlusion of Void]|h|r,1,false,Miscellaneous,Finger,,Garompinax-Ragnaros
